Kind,Name,CountLineCode,MaxCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountDeclInstanceMethod,MaxInheritanceTree,CountDeclMethod,CountDeclInstanceVariable,PercentLackOfCohesion
Package,(Unnamed_Package),34,1,,,,,3,,3,1,
Unnamed Function,(unnamed_function_1),1,,,,,,,,,,
Unnamed Function,(unnamed_function_1),25,,,,,,,,,,
Unnamed Function,(unnamed_function_1).(unnamed_function_2),1,,,,,,,,,,
Unnamed Function,(unnamed_function_1).(unnamed_function_2),6,,,,,,,,,,
Unnamed Function,(unnamed_function_1).(unnamed_function_3),4,,,,,,,,,,
Unnamed Function,(unnamed_function_1).(unnamed_function_4),8,,,,,,,,,,
Unnamed Function,(unnamed_function_3),1,,,,,,,,,,
Function,(unnamed_function_3).$,1,,,,,,,,,,
Function,(unnamed_function_3).$.t,1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).(unnamed_function_111),1,,,,,,,,,,
Public Method,(unnamed_function_3).(unnamed_function_111)._default,1,,,,,,,,,,
Public Method,(unnamed_function_3).(unnamed_function_111).setup,1,,,,,,,,,,
Public Method,(unnamed_function_3).(unnamed_function_111).trigger,1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).(unnamed_function_112),1,,,,,,,,,,
Public Method,(unnamed_function_3).(unnamed_function_112).handle,1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).(unnamed_function_124),1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).(unnamed_function_124).(unnamed_function_125),1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).(unnamed_function_126),1,,,,,,,,,,
Public Method,(unnamed_function_3).(unnamed_function_126).boxSizingReliable,1,,,,,,,,,,
Function,(unnamed_function_3).(unnamed_function_126).e,1,,,,,,,,,,
Public Method,(unnamed_function_3).(unnamed_function_126).pixelBoxStyles,1,,,,,,,,,,
Public Method,(unnamed_function_3).(unnamed_function_126).pixelPosition,1,,,,,,,,,,
Public Method,(unnamed_function_3).(unnamed_function_126).reliableMarginLeft,1,,,,,,,,,,
Public Method,(unnamed_function_3).(unnamed_function_126).reliableTrDimensions,1,,,,,,,,,,
Public Method,(unnamed_function_3).(unnamed_function_126).scrollboxSize,1,,,,,,,,,,
Function,(unnamed_function_3).(unnamed_function_126).t,1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).(unnamed_function_128),1,,,,,,,,,,
Public Method,(unnamed_function_3).(unnamed_function_128).get,1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).(unnamed_function_128).get.(unnamed_function_129),1,,,,,,,,,,
Public Method,(unnamed_function_3).(unnamed_function_128).set,1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).(unnamed_function_130),1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).(unnamed_function_130).(unnamed_function_131),1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).(unnamed_function_132),1,,,,,,,,,,
Public Method,(unnamed_function_3).(unnamed_function_132).expand,1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).(unnamed_function_146),1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).(unnamed_function_146).(unnamed_function_147),1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).(unnamed_function_148),1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).(unnamed_function_148).(unnamed_function_149),1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).(unnamed_function_152),1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).(unnamed_function_152).(unnamed_function_153),1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).(unnamed_function_155),1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).(unnamed_function_162),1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).(unnamed_function_162).(unnamed_function_163),1,,,,,,,,,,
Public Method,(unnamed_function_3).(unnamed_function_162).set,1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).(unnamed_function_165),1,,,,,,,,,,
Function,(unnamed_function_3).(unnamed_function_165).i,1,,,,,,,,,,
Public Method,(unnamed_function_3).(unnamed_function_165).setup,1,,,,,,,,,,
Public Method,(unnamed_function_3).(unnamed_function_165).teardown,1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).(unnamed_function_177),1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).(unnamed_function_177).(unnamed_function_178),1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).(unnamed_function_179),1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).(unnamed_function_185),1,,,,,,,,,,
Public Method,(unnamed_function_3).(unnamed_function_185).abort,1,,,,,,,,,,
