Kind,Name,CountLineCode,MaxCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountDeclInstanceMethod,MaxInheritanceTree,CountDeclMethod,CountDeclInstanceVariable,PercentLackOfCohesion
Package,"(Unnamed_Package)",67,1,,,,,16,,16,1,
Unnamed Function,"(unnamed_function_1)",25,,,,,,,,,,
Unnamed Function,"(unnamed_function_1).(unnamed_function_2)",6,,,,,,,,,,
Unnamed Function,"(unnamed_function_1).(unnamed_function_3)",4,,,,,,,,,,
Unnamed Function,"(unnamed_function_1).(unnamed_function_4)",8,,,,,,,,,,
File,"1332.xml",9,0,,,,,,,,,
File,"1417.xml",20,0,,,,,,,,,
File,"1636.xml",9,0,,,,,,,,,
File,"1787.xml",23,0,,,,,,,,,
File,"188.xml",9,0,,,,,,,,,
File,"2078.xml",15,0,,,,,,,,,
File,"2501.xml",13,0,,,,,,,,,
File,"2532.xml",9,0,,,,,,,,,
File,"987.xml",9,0,,,,,,,,,
File,"A.java",4,0,,,,,1,,1,0,
File,"A.java",49,1,,,,,22,,22,0,
File,"A.java",12,1,,,,,2,,2,0,
File,"A.java",6,1,,,,,0,,1,0,
File,"A.java",6,1,,,,,1,,1,0,
File,"A.java",10,1,,,,,3,,3,0,
File,"A.java",8,1,,,,,1,,1,0,
File,"A.java",21,1,,,,,3,,3,1,
File,"A.java",34,1,,,,,11,,11,0,
File,"AA.java",37,1,,,,,9,,9,1,
File,"AFactory.java",8,1,,,,,1,,1,0,
File,"ASample.java",6,1,,,,,1,,1,0,
File,"ASample.java",6,1,,,,,1,,1,0,
File,"ATest.java",9,1,,,,,1,,1,0,
File,"AbstractBaseSample.java",19,1,,,,,3,,3,0,
File,"AbstractBaseSample.java",11,1,,,,,2,,2,0,
File,"AbstractBaseTestCase.java",29,2,,,,,4,,4,0,
File,"AbstractGenericTests.java",7,1,,,,,1,,1,0,
File,"AbstractMethodMatcher.java",25,2,,,,,5,,5,2,
File,"AbstractMoves.java",6,1,,,,,2,,2,0,
File,"AbstractNodeMethodMatcher.java",49,3,,,,,7,,7,1,
File,"AbstractParallelWorker.java",92,2,,,,,18,,19,8,
