Kind,Name,CountLineCode,MaxCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountDeclInstanceMethod,MaxInheritanceTree,CountDeclMethod,CountDeclInstanceVariable,PercentLackOfCohesion
Package,"(Unnamed_Package)",51,1,,,,,15,,15,1,
Unnamed Function,"(unnamed_function_1)",40,,,,,,,,,,
File,"A.java",5,0,,,,,1,,1,0,
File,"A.java",6,1,,,,,1,,1,0,
File,"A.java",6,1,,,,,1,,1,0,
File,"A.java",8,1,,,,,1,,1,0,
File,"A.java",6,1,,,,,1,,1,0,
File,"A.java",28,1,,,,,5,,5,0,
File,"A.java",34,1,,,,,11,,11,0,
File,"AA.java",38,1,,,,,9,,9,1,
File,"AAA.java",17,1,,,,,3,,3,0,
File,"AFactory.java",8,1,,,,,1,,1,0,
File,"ATest.java",11,1,,,,,1,,1,0,
File,"AbstractAnnotationAwareTransactionalTests.java",47,3,,,,,4,,4,3,
File,"AbstractDependencyInjectionSpringContextTests.java",127,9,,,,,13,,13,4,
File,"AbstractGenericTests.java",7,1,,,,,1,,1,0,
File,"AbstractRemoteTestRunnerClient.java",98,6,,,,,14,,14,6,
File,"AbstractSingleSpringContextTests.java",49,2,,,,,13,,13,2,
File,"AbstractSingleSpringContextTests.java",53,2,,,,,13,,13,2,
File,"AbstractSpringContextTests.java",43,2,,,,,7,,7,1,
File,"AbstractTest.java",16,1,,,,,1,,1,0,
File,"AbstractTransactionalDataSourceSpringContextTests.java",85,9,,,,,7,,7,2,
File,"AbstractTransactionalSpringContextTests.java",114,4,,,,,15,,15,6,
File,"AccountTypeEnum.java",4,0,,,,,0,,0,0,
File,"AfterClass.java",15,0,,,,,8,,8,0,
File,"AfterClassCalledAtEnd.java",38,1,,,,,5,,5,4,
File,"AfterGroups.java",16,0,,,,,9,,9,0,
File,"AfterMethod.java",16,0,,,,,9,,9,0,
File,"AfterMethodSampleTest.java",22,1,,,,,3,,3,0,
File,"AfterMethodTest.java",13,1,,,,,1,,1,0,
File,"AfterSuite.java",15,0,,,,,8,,8,0,
File,"AfterSuiteAnnotation.java",3,0,,,,,0,,0,0,
File,"AfterTest.java",15,0,,,,,8,,8,0,
File,"AggregateSampleTest.java",13,1,,,,,1,,2,0,
File,"AllJUnitTests.java",11,1,,,,,0,,1,0,
File,"AllTestsMethodSelector.java",21,1,,,,,2,,3,0,
File,"AlwaysRunAfter1.java",21,1,,,,,3,,4,0,
File,"AlwaysRunAfter2.java",17,1,,,,,2,,3,0,
File,"AlwaysRunBefore1.java",40,1,,,,,5,,6,0,
File,"AlwaysRunTest.java",43,1,,,,,3,,4,0,
File,"AnnotationHelper.java",235,11,,,,,0,,16,0,
File,"AnnotationTransformer.java",38,1,,,,,8,,8,0,
File,"AnnotationTransformerClassInvocationSampleTest.java",7,1,,,,,2,,2,0,
File,"AnnotationTransformerClassSampleTest.java",15,2,,,,,2,,2,0,
File,"AnnotationTransformerDataProviderSampleTest.java",16,1,,,,,2,,2,0,
File,"AnnotationTransformerFactorySampleTest.java",17,1,,,,,2,,2,0,
File,"AnnotationTransformerInTestngXml.java",15,1,,,,,2,,2,0,
File,"AnnotationTransformerSampleTest.java",48,2,,,,,6,,7,4,
File,"AnnotationTransformerTest.java",118,4,,,,,9,,9,0,
File,"AnnotationTypeEnum.java",67,9,,,,,3,,6,1,
File,"AntSystemPropertySet.java",16,1,,,,,1,,1,0,
File,"ArrayAsserts.java",63,1,,,,,0,,17,0,
File,"ArrayComparisonFailure.java",35,3,,,,,4,,4,3,
File,"Assert.java",333,7,,,,,1,,52,0,
File,"AssertEqualsTest.java",51,2,,,,,4,,5,0,
File,"AssertJUnit.java",189,6,,,,,1,,41,0,
File,"AssertTest.java",83,2,,,,,9,,9,0,
File,"AssertTest.java",61,1,,,,,8,,8,0,
File,"AtomicIntegerAdapter.java",17,1,,,,,3,,3,1,
File,"AttributeTest.java",29,1,,,,,3,,3,0,
File,"Attributes.java",25,1,,,,,4,,4,1,
File,"B.java",8,1,,,,,1,,1,0,
File,"B.java",6,1,,,,,1,,1,0,
File,"B.java",6,1,,,,,1,,1,0,
File,"B.java",17,1,,,,,3,,3,0,
File,"B.java",8,1,,,,,1,,1,0,
File,"B.java",6,1,,,,,1,,1,0,
File,"B.java",8,1,,,,,1,,1,0,
File,"B.java",18,1,,,,,1,,3,0,
File,"B.java",14,1,,,,,2,,2,0,
File,"B.java",25,1,,,,,8,,8,0,
File,"BListener.java",18,1,,,,,3,,3,0,
File,"BadMethodFactoryFactory.java",9,1,,,,,1,,1,0,
File,"Base.java",19,1,,,,,2,,3,0,
File,"Base.java",23,1,,,,,3,,5,0,
File,"Base.java",43,2,,,,,10,,10,1,
File,"Base.java",19,1,,,,,2,,2,0,
File,"Base.java",7,1,,,,,1,,1,0,
File,"Base.java",8,1,,,,,1,,1,0,
File,"Base.java",22,1,,,,,3,,4,1,
File,"Base0.java",8,1,,,,,1,,1,0,
File,"Base1.java",12,1,,,,,2,,2,0,
File,"Base1.java",23,2,,,,,3,,4,0,
File,"Base2.java",23,2,,,,,3,,4,0,
File,"Base3.java",24,2,,,,,3,,4,0,
File,"BaseAfter.java",17,1,,,,,2,,3,0,
File,"BaseAfterClassCalledAtEnd.java",9,1,,,,,1,,1,1,
File,"BaseAggregate.java",5,0,,,,,0,,0,0,
File,"BaseAnnotation.java",26,1,,,,,6,,6,3,
File,"BaseBefore.java",18,1,,,,,2,,3,0,
File,"BaseBeforeAfter.java",54,1,,,,,12,,12,6,
File,"BaseBeforeTestOrdering.java",6,1,,,,,1,,1,0,
File,"BaseClassFinder.java",47,2,,,,,7,,7,1,
File,"BaseClassScope.java",5,0,,,,,0,,0,0,
File,"BaseConfigurable.java",31,1,,,,,4,,4,0,
File,"BaseDistributedTest.java",39,4,,,,,3,,3,1,
File,"BaseFactory.java",14,1,,,,,3,,3,1,
File,"BaseFailuresTest.java",69,9,,,,,4,,4,0,
File,"BaseGroupsASampleTest.java",7,1,,,,,1,,1,0,
File,"BaseGroupsBSampleTest.java",7,1,,,,,1,,1,0,
